RDF,Out_Degree,In_Degree,Degree
Q2252,29,2,31
Q2256,20,28,48
Q2263,70,53,123
Q2277,28,19,47
Q2280,30,6,36
Q2283,24,17,41
Q2293,87,1,88
Q2306,29,25,54
Q2329,15,9,24
Q2331,18,22,40
Q2407,3,10,13
Q2431,1,4,5
Q2449,8,1,9
Q2467,5,1,6
Q2487,9,10,19
Q2570,9,0,9
Q2593,16,14,30
Q2598,6,3,9
Q2599,77,4,81
Q2609,8,2,10
Q2632,54,1,55
Q2634,25,14,39
Q2641,5,0,5
Q2643,60,3,63
Q2649,1,4,5
Q2656,22,9,31
Q2673,22,3,25
Q2680,42,32,74
Q2683,21,4,25
Q2685,45,17,62
Q2693,5,2,7
Q2710,4,1,5
Q2714,5,5,10
Q2736,9,1044,1053
Q2739,7,3,10
Q2743,6,35,41
Q2744,148,3,151
Q2749,37,5,42
Q2751,12,3,15
Q2756,5,2,7
Q2763,7,11,18
Q2768,8,3,11
Q2773,28,5,33
Q2795,18,1,19
Q2798,5,1,6
Q2807,17,35,52
Q2808,71,14,85
Q2814,31,6,37
Q2831,101,30,131
Q2833,29,10,39
Q2840,21,3,24
Q2861,28,4,32
Q2865,20,3,23
Q2868,14,5,19
Q2875,58,2,60
Q2887,11,7,18
Q2895,32,9,41
Q2900,11,3,14
Q2966,44,9,53
Q2973,26,3,29
Q2978,27,4,31
Q3001,9,1,10
Q3008,36,0,36
Q3012,26,1,27
Q3033,0,8,8
Q3037,10,2,12
Q3071,7,56,63
Q3083,0,6,6
Q3093,18,1,19
Q3104,29,1,30
Q3105,0,6,6
Q3110,9,4,13
Q3114,7,12,19
Q3126,28,1,29
Q3130,19,61,80
Q3131,0,5,5
Q3133,10,10,20
Q3138,28,5,33
Q3139,22,6,28
Q3140,11,0,11
Q3141,23,39,62
Q3142,11,21,32
Q3150,25,6,31
Q3183,12,7,19
Q3185,16,0,16
Q3206,13,4,17
Q3207,9,2,11
Q3224,18,10,28
Q3235,11,7,18
Q3249,11,5,16
Q3258,6,5,11
Q3306,14,2,16
Q3335,31,6,37
Q3357,11,1,12
Q3384,16,10,26
Q3410,12,22,34
Q3437,15,2,17
Q3519,12,2,14
Q3532,7,3,10
Q3540,0,5,5
Q3551,11,2,13
Q3557,5,7,12
Q3561,18,5,23
