Title,Description,MDI,URL,Alias,RDF
Ermanno Olmi,Italian film director,/m/04m72c,https://en.wikipedia.org/wiki/Ermanno_Olmi,,Q114063
Fulton County,"county in New York, United States",/m/0f62f,"https://en.wikipedia.org/wiki/Fulton_County,_New_York","Fulton County, New York|Fulton County, NY",Q115258
Hans Max Gamper-Haessig,"Swiss football pioneer, player and club president (1877-1930)",/m/04hvr2,https://en.wikipedia.org/wiki/Joan_Gamper,Hans Gamper|Hans Kamper|Joan Gamper,Q115500
Federal District,"federal district of Brazil, a federative unit in the Central-West Region of Brazil",/m/012l8y,https://en.wikipedia.org/wiki/Federal_District_(Brazil),DF|Distrito Federal,Q119158
Honour Cross of the World War 1914/1918,award,/m/0brrbj,https://en.wikipedia.org/wiki/The_Honour_Cross_of_the_World_War_1914/1918,,Q120758
cloning,process of producing individual organisms with identical genomes,/m/01_jn,https://en.wikipedia.org/wiki/Cloning,,Q120877
Charles II of England,British monarch from 1660 to 1685,/m/0clvb,https://en.wikipedia.org/wiki/Charles_II_of_England,Charles II|The Merry Monarch|Merry Monarch,Q122553
złoty,currency of Poland,/m/0glfp,https://en.wikipedia.org/wiki/Polish_z%C5%82oty,Polish złoty|Polish zloty|zł|PLN|zloty,Q123213
landlocked country,"country fully enclosed by land areas, or whose only coastlines lie on closed seas or lakes",/m/01rgj6,https://en.wikipedia.org/wiki/Landlocked_country,landlocked state|landlocked countries,Q123480
neighborhood,"geographically localized community within a larger city, town or suburb",/m/0180xr,https://en.wikipedia.org/wiki/Neighbourhood,neighbourhood|quarter|subdistrict|district|city section,Q123705
Emmy Award,American television production award,/m/013sb1,https://en.wikipedia.org/wiki/Emmy_Awards,Emmys|Emmy Awards,Q123737
coalition,"group formed of people, factions, states, political parties, militaries, or other parties agree to work together, often temporarily, in a partnership to achieve a common goal",/m/0pyfv,https://en.wikipedia.org/wiki/Coalition,,Q124964
Slumdog Millionaire,2008 film directed by Danny Boyle,/m/03hmt9b,https://en.wikipedia.org/wiki/Slumdog_Millionaire,,Q125076
James II of England,"King of England, Scotland, and Ireland (1633–1701)",/m/0d9nm6,https://en.wikipedia.org/wiki/James_II_of_England,"James VII|James VII of Scotland|King James VII|King James VII of Scotland|King James II of England|King James VII and II|King James II and VII|James II and VII|James, Duke of York Stuart|King of Scotland James VII|Duke of York James II|King of England Jacobus II|King of England James II|James II Stuart|James, Duke of York and Albany|James VII and II|James II of England and VII of Scotland",Q126188
Western Cape,province of South Africa,/m/01tjt2,https://en.wikipedia.org/wiki/Western_Cape,Western Cape Province|province of the Western Cape|province of Western Cape,Q127167
